Brand,Outdoor Model,Coil/Air Handler,Furnace,AHRI Number,Size,SEER2,HSPF2,Finance,25C Tax Credit
CARRIER,26SPA642W**30*,CVAVA4221XMA*,59TN7A100C21**22,217587575,39500,15,,,No
CARRIER,26SCA542W**30*,CVAVA4221XMA*,59TN7A100C21**22,217587574,39500,15,,,No
CARRIER,GA5SAN542**WA*,CVAVA4217XMA*,58CU*B060C17**16,217587550,39500,15,,,No
CARRIER,26SPA642W**30*,CVAVA4217XMA*,58CU*B060C17**16,217587549,39500,15,,,No
CARRIER,26SCA542W**30*,CVAVA4217XMA*,58CU*B060C17**16,217587548,39500,15,,,No
CARRIER,GA5SAN542**WA*,CVAMA6024XMA*,59TP7A080V21**20,217587523,41500,15.5,,,No
CARRIER,26SPA642W**30*,CVAMA6024XMA*,59TP7A080V21**20,217587522,41500,15.5,,,No
CARRIER,26SCA542W**30*,CVAMA6024XMA*,59TP7A080V21**20,217587521,41500,15.5,,,No
CARRIER,GA5SAN542**WA*,CVAMA6021XMA*,59TP7A060V17**16,217587494,40500,15,,,No
CARRIER,26SPA642W**30*,CVAMA6021XMA*,59TP7A060V17**16,217587493,40500,15,,,No
CARRIER,26SCA542W**30*,CVAMA6021XMA*,59TP7A060V17**16,217587492,40500,15,,,No
CARRIER,GA5SAN542**WA*,CVAMA4921XMA*,59TP7A080V17**16,217587465,41000,15,,,No
CARRIER,26SPA642W**30*,CVAMA4921XMA*,59TP7A080V17**16,217587464,41000,15,,,No
CARRIER,26SCA542W**30*,CVAMA4921XMA*,59TP7A080V17**16,217587463,41000,15,,,No
CARRIER,GA5SAN542**WA*,CVAMA4921XMA*,58CU*B080C21**20,217587439,41500,16,,,No
CARRIER,26SPA642W**30*,CVAMA4921XMA*,58CU*B080C21**20,217587438,41500,16,,,No
CARRIER,26SCA542W**30*,CVAMA4921XMA*,58CU*B080C21**20,217587437,41500,16,,,No
CARRIER,GA5SAN542**WA*,CVAMA4821XMA*,59TP7A060V17**16,217587410,39500,15,,,No
CARRIER,26SPA642W**30*,CVAMA4821XMA*,59TP7A060V17**16,217587409,39500,15,,,No
CARRIER,26SCA542W**30*,CVAMA4821XMA*,59TP7A060V17**16,217587408,39500,15,,,No
CARRIER,GA5SAN542**WA*,CVAMA4421XMA*,59TP7A080V17**16,217587381,41000,15,,,No
CARRIER,26SPA642W**30*,CVAMA4421XMA*,59TP7A080V17**16,217587380,41000,15,,,No
CARRIER,26SCA542W**30*,CVAMA4421XMA*,59TP7A080V17**16,217587379,41000,15,,,No
CARRIER,GA5SAN542**WA*,CVAMA4321XMA*,59TP7A080V17**16,217587352,40000,15,,,No
CARRIER,26SPA642W**30*,CVAMA4321XMA*,59TP7A080V17**16,217587351,40000,15,,,No
CARRIER,26SCA542W**30*,CVAMA4321XMA*,59TP7A080V17**16,217587350,40000,15,,,No
CARRIER,GA5SAN542**WA*,CVAMA4221XMA*,59TP7A060V17**16,217587323,39000,14.5,,,No
CARRIER,26SPA642W**30*,CVAMA4221XMA*,59TP7A060V17**16,217587322,39000,14.5,,,No
CARRIER,26SCA542W**30*,CVAMA4221XMA*,59TP7A060V17**16,217587321,39000,14.5,,,No
CARRIER,GA5SAN542**WA*,CSAH*6012AM*,59TP7A100V21**22,217587299,41000,16,,,No
CARRIER,26SPA642W**30*,CSAH*6012AM*,59TP7A100V21**22,217587298,41000,16,,,No
CARRIER,26SCA542W**30*,CSAH*6012AM*,59TP7A100V21**22,217587297,41000,16,,,No
CARRIER,GA5SAN542**WA*,CSAH*6012AM*,58CU*B060C17**16,217587273,41000,15.5,,,No
CARRIER,26SPA642W**30*,CSAH*6012AM*,58CU*B060C17**16,217587272,41000,15.5,,,No
CARRIER,26SCA542W**30*,CSAH*6012AM*,58CU*B060C17**16,217587271,41000,15.5,,,No
CARRIER,GA5SAN542**WA*,CSAH*4812AM*,58CU*B040C17**12,217587247,40500,15.5,,,No
CARRIER,26SPA642W**30*,CSAH*4812AM*,58CU*B040C17**12,217587246,40500,15.5,,,No
CARRIER,26SCA542W**30*,CSAH*4812AM*,58CU*B040C17**12,217587245,40500,15.5,,,No
CARRIER,GA5SAN542**WA*,CSAH*4212AM*,59TN7A080C17**16,217587221,40000,15,,,No
CARRIER,26SPA642W**30*,CSAH*4212AM*,59TN7A080C17**16,217587220,40000,15,,,No
CARRIER,26SCA542W**30*,CSAH*4212AM*,59TN7A080C17**16,217587219,40000,15,,,No
CARRIER,GA5SAN542**WA*,CAA**6124AM*,58CU*B100C21**20,217587195,41500,16,,,No
CARRIER,26SPA642W**30*,CAA**6124AM*,58CU*B100C21**20,217587194,41500,16,,,No
CARRIER,26SCA542W**30*,CAA**6124AM*,58CU*B100C21**20,217587193,41500,16,,,No
CARRIER,GA5SAN542**WA*,CAA**6121AM*,58CU*B100C21**20,217587169,41000,16,,,No
CARRIER,26SPA642W**30*,CAA**6121AM*,58CU*B100C21**20,217587168,41000,16,,,No
CARRIER,26SCA542W**30*,CAA**6121AM*,58CU*B100C21**20,217587167,41000,16,,,No
CARRIER,GA5SAN542**WA*,CAA**6024AM*,58CU*B080C21**20,217587143,41000,16,,,No
CARRIER,26SPA642W**30*,CAA**6024AM*,58CU*B080C21**20,217587142,41000,16,,,No
CARRIER,26SCA542W**30*,CAA**6024AM*,58CU*B080C21**20,217587141,41000,16,,,No
CARRIER,GA5SAN542**WA*,CAA**4821AM*,58CU*B040C17**12,217587117,40000,15.5,,,No
CARRIER,26SPA642W**30*,CAA**4821AM*,58CU*B040C17**12,217587116,40000,15.5,,,No
CARRIER,26SCA542W**30*,CAA**4821AM*,58CU*B040C17**12,217587115,40000,15.5,,,No
CARRIER,GA5SAN536**WA*,CVAVA4924XMA*,59TP7A120V24**22,217586906,35000,16,,,No
CARRIER,26SPA636W**30*,CVAVA4924XMA*,59TP7A120V24**22,217586905,35000,16,,,No
CARRIER,26SCA536W**30*,CVAVA4924XMA*,59TP7A120V24**22,217586904,35000,16,,,No
CARRIER,GA5SAN536**WA*,CVAVA4824XMA*,59TP7A100V21**22,217586882,34400,16,,,No
CARRIER,26SPA636W**30*,CVAVA4824XMA*,59TP7A100V21**22,217586881,34400,16,,,No
CARRIER,26SCA536W**30*,CVAVA4824XMA*,59TP7A100V21**22,217586880,34400,16,,,No
CARRIER,GA5SAN536**WA*,CVAVA4821XMA*,59TN7A080C21**20,217586856,33600,15.5,,,No
CARRIER,26SPA636W**30*,CVAVA4821XMA*,59TN7A080C21**20,217586855,33600,15.5,,,No
CARRIER,26SCA536W**30*,CVAVA4821XMA*,59TN7A080C21**20,217586854,33600,15.5,,,No
CARRIER,GA5SAN536**WA*,CVAVA4224XMA*,58CU*B080C21**20,217586830,34600,16,,,No
CARRIER,26SPA636W**30*,CVAVA4224XMA*,58CU*B080C21**20,217586829,34600,16,,,No
CARRIER,26SCA536W**30*,CVAVA4224XMA*,58CU*B080C21**20,217586828,34600,16,,,No
CARRIER,GA5SAN536**WA*,CVAVA4221XMA*,58CU*B040C17**12,217586804,33600,15.5,,,No
CARRIER,26SPA636W**30*,CVAVA4221XMA*,58CU*B040C17**12,217586803,33600,15.5,,,No
CARRIER,26SCA536W**30*,CVAVA4221XMA*,58CU*B040C17**12,217586802,33600,15.5,,,No
CARRIER,GA5SAN536**WA*,CVAVA3817XMA*,58CU*B040C17**12,217586778,34400,16,,,No
CARRIER,26SPA636W**30*,CVAVA3817XMA*,58CU*B040C17**12,217586777,34400,16,,,No
CARRIER,26SCA536W**30*,CVAVA3817XMA*,58CU*B040C17**12,217586776,34400,16,,,No
CARRIER,GA5SAN536**WA*,CVAVA3621XMA*,59TP7A100V21**20,217586749,33600,15.5,,,No
CARRIER,26SPA636W**30*,CVAVA3621XMA*,59TP7A100V21**20,217586748,33600,15.5,,,No
CARRIER,26SCA536W**30*,CVAVA3621XMA*,59TP7A100V21**20,217586747,33600,15.5,,,No
CARRIER,GA5SAN536**WA*,CVAVA3617XMA*,59TP7A080V17**16,217586720,33400,15,,,No
CARRIER,26SPA636W**30*,CVAVA3617XMA*,59TP7A080V17**16,217586719,33400,15,,,No
CARRIER,26SCA536W**30*,CVAVA3617XMA*,59TP7A080V17**16,217586718,33400,15,,,No
CARRIER,GA5SAN536**WA*,CVAMA4921XMA*,59TN7A060C17**16,217586694,34200,15.5,,,No
CARRIER,26SPA636W**30*,CVAMA4921XMA*,59TN7A060C17**16,217586693,34200,15.5,,,No
CARRIER,26SCA536W**30*,CVAMA4921XMA*,59TN7A060C17**16,217586692,34200,15.5,,,No
CARRIER,GA5SAN536**WA*,CVAMA4821XMA*,59TN7A080C17**16,217586668,33600,15,,,No
CARRIER,26SPA636W**30*,CVAMA4821XMA*,59TN7A080C17**16,217586667,33600,15,,,No
CARRIER,26SCA536W**30*,CVAMA4821XMA*,59TN7A080C17**16,217586666,33600,15,,,No
CARRIER,GA5SAN536**WA*,CVAMA4421XMA*,59TN7A100C21**22,217586642,34400,16,,,No
CARRIER,26SPA636W**30*,CVAMA4421XMA*,59TN7A100C21**22,217586641,34400,16,,,No
CARRIER,26SCA536W**30*,CVAMA4421XMA*,59TN7A100C21**22,217586640,34400,16,,,No
CARRIER,GA5SAN536**WA*,CVAMA4321XMA*,59TP7A080V21**20,217586615,34200,15.5,,,No
CARRIER,26SPA636W**30*,CVAMA4321XMA*,59TP7A080V21**20,217586614,34200,15.5,,,No
CARRIER,26SCA536W**30*,CVAMA4321XMA*,59TP7A080V21**20,217586613,34200,15.5,,,No
CARRIER,GA5SAN536**WA*,CVAMA4221XMA*,59TP7A100V21**22,217586591,33400,15.5,,,No
CARRIER,26SPA636W**30*,CVAMA4221XMA*,59TP7A100V21**22,217586590,33400,15.5,,,No
CARRIER,26SCA536W**30*,CVAMA4221XMA*,59TP7A100V21**22,217586589,33400,15.5,,,No
CARRIER,GA5SAN536**WA*,CVAMA3617XMA*,58CU*B040C17**12,217586565,33400,15,,,No
CARRIER,26SPA636W**30*,CVAMA3617XMA*,58CU*B040C17**12,217586564,33400,15,,,No
CARRIER,26SCA536W**30*,CVAMA3617XMA*,58CU*B040C17**12,217586563,33400,15,,,No
